Üniversite Adı,Ders Adı,Ders Tanımı
ankara üniversitesi,nesne tabanlı programlama,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
sabancı üniversitesi,dijital oyun programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
hacettepe üniversitesi,veri madenciliği,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul teknik üniversitesi,veri tabanı yönetim sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
orta doğu teknik üniversitesi,veritabanı sistemleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
boğaziçi üniversitesi,nesne tabanlı yazılım geliştirme,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,siber güvenlik,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
hacettepe üniversitesi,kriptografi ve veri güvenliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
koç üniversitesi,nesne tabanlı yazılım geliştirme,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
yıldız teknik üniversitesi,programlama dilleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,veritabanı sistemleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
dokuz eylül üniversitesi,bilgisayar ağları,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
boğaziçi üniversitesi,veri bilimi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,web programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
sabancı üniversitesi,mobil uygulama geliştirme,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
istanbul teknik üniversitesi,bilgisayar mühendisliğine giriş,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
hacettepe üniversitesi,nesne tabanlı programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul teknik üniversitesi,veri tabanı yönetim sistemleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
sabancı üniversitesi,veri madenciliği,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
orta doğu teknik üniversitesi,veri madenciliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
orta doğu teknik üniversitesi,içerik yönetim sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
yıldız teknik üniversitesi,kriptografi ve veri güvenliği,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
marmara üniversitesi,programlama dilleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
orta doğu teknik üniversitesi,nesne tabanlı yazılım geliştirme,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,veri madenciliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,veri tabanı yönetim sistemleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
ankara üniversitesi,yapay zeka,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
koç üniversitesi,internet programcılığı,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
marmara üniversitesi,makine ğrenmesi,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
koç üniversitesi,makine ğrenmesi,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
koç üniversitesi,bilgisayar ağları,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
sabancı üniversitesi,veri bilimi,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
dokuz eylül üniversitesi,nesne tabanlı programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
marmara üniversitesi,web programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
sabancı üniversitesi,veri madenciliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
koç üniversitesi,internet programcılığı,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
boğaziçi üniversitesi,sistem programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,veritabanı sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
dokuz eylül üniversitesi,programlama dilleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
boğaziçi üniversitesi,veri tabanı yönetim sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
yıldız teknik üniversitesi,yapay zeka,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
dokuz eylül üniversitesi,dijital oyun programlama,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
ankara üniversitesi,veri tabanı yönetim sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
koç üniversitesi,kriptografi ve veri güvenliği,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
yıldız teknik üniversitesi,web programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,veri tabanı yönetim sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
dokuz eylül üniversitesi,makine ğrenmesi,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
marmara üniversitesi,nesne tabanlı programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
koç üniversitesi,mobil uygulama geliştirme,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,kriptografi ve veri güvenliği,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,makine ğrenmesi,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
marmara üniversitesi,veri bilimi,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
marmara üniversitesi,nesne tabanlı yazılım geliştirme,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
koç üniversitesi,nesne tabanlı programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,nesne tabanlı programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
yıldız teknik üniversitesi,içerik yönetim sistemleri,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
istanbul teknik üniversitesi,nesne tabanlı yazılım geliştirme,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
sabancı üniversitesi,kriptografi ve veri güvenliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
dokuz eylül üniversitesi,nesne tabanlı yazılım geliştirme,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
sabancı üniversitesi,nesne tabanlı yazılım geliştirme,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
koç üniversitesi,sistem programlama,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
boğaziçi üniversitesi,mobil uygulama geliştirme,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
koç üniversitesi,nesne tabanlı yazılım geliştirme,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul üniversitesi,veri bilimi,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,nesne tabanlı yazılım geliştirme,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
koç üniversitesi,mobil uygulama geliştirme,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
hacettepe üniversitesi,bilgisayar ağları,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
koç üniversitesi,genel matematik,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
hacettepe üniversitesi,veri bilimi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
koç üniversitesi,kriptografi ve veri güvenliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
marmara üniversitesi,sistem programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
boğaziçi üniversitesi,genel matematik,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
sabancı üniversitesi,kriptografi ve veri güvenliği,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
boğaziçi üniversitesi,veri madenciliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
yıldız teknik üniversitesi,internet programcılığı,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
sabancı üniversitesi,veri tabanı yönetim sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
orta doğu teknik üniversitesi,veri bilimi,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
marmara üniversitesi,veri madenciliği,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
marmara üniversitesi,veri bilimi,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
orta doğu teknik üniversitesi,mobil uygulama geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,veri madenciliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
dokuz eylül üniversitesi,nesne tabanlı yazılım geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
boğaziçi üniversitesi,nesne tabanlı yazılım geliştirme,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
boğaziçi üniversitesi,genel matematik,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
dokuz eylül üniversitesi,nesne tabanlı programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
hacettepe üniversitesi,web programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
koç üniversitesi,veri bilimi,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
dokuz eylül üniversitesi,genel matematik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
sabancı üniversitesi,veri tabanı yönetim sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul üniversitesi,nesne tabanlı yazılım geliştirme,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,makine ğrenmesi,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
yıldız teknik üniversitesi,veri bilimi,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul üniversitesi,veri madenciliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
dokuz eylül üniversitesi,nesne tabanlı programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
hacettepe üniversitesi,internet programcılığı,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
orta doğu teknik üniversitesi,web programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
yıldız teknik üniversitesi,internet programcılığı,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
yıldız teknik üniversitesi,veritabanı sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,yapay zeka,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
dokuz eylül üniversitesi,genel matematik,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
orta doğu teknik üniversitesi,nesne tabanlı programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
orta doğu teknik üniversitesi,mobil uygulama geliştirme,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
yıldız teknik üniversitesi,web programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
ankara üniversitesi,yapay zeka,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
hacettepe üniversitesi,içerik yönetim sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
dokuz eylül üniversitesi,programlama dilleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
boğaziçi üniversitesi,bilgisayar mühendisliğine giriş,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,mobil uygulama geliştirme,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,nesne tabanlı yazılım geliştirme,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
hacettepe üniversitesi,sistem programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
orta doğu teknik üniversitesi,mobil uygulama geliştirme,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
hacettepe üniversitesi,yapay zeka,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
dokuz eylül üniversitesi,genel matematik,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
dokuz eylül üniversitesi,dijital oyun programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
dokuz eylül üniversitesi,veri madenciliği,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
boğaziçi üniversitesi,siber güvenlik,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,mobil uygulama geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
sabancı üniversitesi,dijital oyun programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
boğaziçi üniversitesi,veri bilimi,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,bilgisayar ağları,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
marmara üniversitesi,nesne tabanlı programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
istanbul üniversitesi,dijital oyun programlama,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
boğaziçi üniversitesi,bilgisayar ağları,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
koç üniversitesi,programlama dilleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
koç üniversitesi,nesne tabanlı programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
hacettepe üniversitesi,mobil uygulama geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
istanbul teknik üniversitesi,kriptografi ve veri güvenliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul teknik üniversitesi,yapay zeka,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
dokuz eylül üniversitesi,sistem programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,dijital oyun programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul teknik üniversitesi,makine ğrenmesi,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
istanbul üniversitesi,yapay zeka,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
istanbul teknik üniversitesi,yapay zeka,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
ankara üniversitesi,sistem programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
boğaziçi üniversitesi,internet programcılığı,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
yıldız teknik üniversitesi,veri bilimi,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
marmara üniversitesi,yapay zeka,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
ankara üniversitesi,veri tabanı yönetim sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
dokuz eylül üniversitesi,nesne tabanlı programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul teknik üniversitesi,programlama dilleri,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,bilgisayar ağları,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,dijital oyun programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
yıldız teknik üniversitesi,programlama dilleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
marmara üniversitesi,bilgisayar ağları,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
orta doğu teknik üniversitesi,programlama dilleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
marmara üniversitesi,nesne tabanlı yazılım geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,dijital oyun programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
boğaziçi üniversitesi,nesne tabanlı programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
ankara üniversitesi,veri bilimi,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul üniversitesi,yapay zeka,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
boğaziçi üniversitesi,veritabanı sistemleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
boğaziçi üniversitesi,nesne tabanlı yazılım geliştirme,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul teknik üniversitesi,nesne tabanlı yazılım geliştirme,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
ankara üniversitesi,veri madenciliği,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul üniversitesi,bilgisayar ağları,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
yıldız teknik üniversitesi,nesne tabanlı yazılım geliştirme,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
dokuz eylül üniversitesi,web programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
koç üniversitesi,web programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
boğaziçi üniversitesi,veri bilimi,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
dokuz eylül üniversitesi,veri madenciliği,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul teknik üniversitesi,kriptografi ve veri güvenliği,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
yıldız teknik üniversitesi,internet programcılığı,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
koç üniversitesi,nesne tabanlı yazılım geliştirme,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,veri tabanı yönetim sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
yıldız teknik üniversitesi,veri madenciliği,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,makine ğrenmesi,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
koç üniversitesi,siber güvenlik,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
hacettepe üniversitesi,bilgisayar mühendisliğine giriş,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
istanbul teknik üniversitesi,dijital oyun programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
koç üniversitesi,programlama dilleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
boğaziçi üniversitesi,veritabanı sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
hacettepe üniversitesi,veritabanı sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
sabancı üniversitesi,bilgisayar ağları,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,makine ğrenmesi,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
ankara üniversitesi,web programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
istanbul üniversitesi,genel matematik,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
koç üniversitesi,internet programcılığı,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
istanbul üniversitesi,nesne tabanlı programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
koç üniversitesi,web programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
ankara üniversitesi,mobil uygulama geliştirme,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
ankara üniversitesi,programlama dilleri,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
dokuz eylül üniversitesi,veritabanı sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul teknik üniversitesi,makine ğrenmesi,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
yıldız teknik üniversitesi,veritabanı sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul üniversitesi,içerik yönetim sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
marmara üniversitesi,makine ğrenmesi,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,mobil uygulama geliştirme,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
istanbul üniversitesi,programlama dilleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,veri madenciliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
koç üniversitesi,programlama dilleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
hacettepe üniversitesi,siber güvenlik,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
yıldız teknik üniversitesi,yapay zeka,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,web programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
marmara üniversitesi,kriptografi ve veri güvenliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
marmara üniversitesi,veri tabanı yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul teknik üniversitesi,veri bilimi,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
orta doğu teknik üniversitesi,veri madenciliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
orta doğu teknik üniversitesi,veritabanı sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,bilgisayar ağları,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
boğaziçi üniversitesi,internet programcılığı,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
yıldız teknik üniversitesi,veri tabanı yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
hacettepe üniversitesi,nesne tabanlı yazılım geliştirme,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
sabancı üniversitesi,genel matematik,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
marmara üniversitesi,bilgisayar ağları,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
hacettepe üniversitesi,içerik yönetim sistemleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
hacettepe üniversitesi,veri tabanı yönetim sistemleri,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
koç üniversitesi,mobil uygulama geliştirme,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
dokuz eylül üniversitesi,yapay zeka,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
istanbul üniversitesi,mobil uygulama geliştirme,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
ankara üniversitesi,genel matematik,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
ankara üniversitesi,makine ğrenmesi,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
hacettepe üniversitesi,web programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul teknik üniversitesi,dijital oyun programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
dokuz eylül üniversitesi,nesne tabanlı programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
marmara üniversitesi,kriptografi ve veri güvenliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
sabancı üniversitesi,bilgisayar mühendisliğine giriş,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
orta doğu teknik üniversitesi,siber güvenlik,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
orta doğu teknik üniversitesi,bilgisayar mühendisliğine giriş,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
hacettepe üniversitesi,genel matematik,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,makine ğrenmesi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
sabancı üniversitesi,kriptografi ve veri güvenliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul üniversitesi,veri tabanı yönetim sistemleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
hacettepe üniversitesi,internet programcılığı,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
istanbul üniversitesi,web programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
