Üniversite Adı,Ders Adı,Ders Tanımı
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Marmara Üniversitesi,Veri Bilimi,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Boğaziçi Üniversitesi,İnternet Programcılığı,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
İstanbul Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Sabancı Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Koç Üniversitesi,Nesne Tabanlı Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Makine Ãğrenmesi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Ankara Üniversitesi,Dijital Oyun Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Hacettepe Üniversitesi,Programlama Dilleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Ankara Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Ankara Üniversitesi,Sistem Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Boğaziçi Üniversitesi,Siber Güvenlik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Makine Ãğrenmesi,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Hacettepe Üniversitesi,Sistem Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Sabancı Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Boğaziçi Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Sabancı Üniversitesi,Bilgisayar Ağları,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Yıldız Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Koç Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Marmara Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Veri Madenciliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Dokuz Eylül Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Sabancı Üniversitesi,İnternet Programcılığı,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Dokuz Eylül Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Marmara Üniversitesi,Programlama Dilleri,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Boğaziçi Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Ankara Üniversitesi,Siber Güvenlik,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Koç Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Marmara Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Dokuz Eylül Üniversitesi,Veri Bilimi,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Marmara Üniversitesi,Genel Matematik,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Sabancı Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Marmara Üniversitesi,Nesne Tabanlı Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Koç Üniversitesi,Siber Güvenlik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Ankara Üniversitesi,Bilgisayar Ağları,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Hacettepe Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Koç Üniversitesi,Yapay Zeka,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Boğaziçi Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Marmara Üniversitesi,Siber Güvenlik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Marmara Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Koç Üniversitesi,Veri Bilimi,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,İnternet Programcılığı,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Marmara Üniversitesi,Nesne Tabanlı Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
İstanbul Teknik Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Koç Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Üniversitesi,Veri Madenciliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Dokuz Eylül Üniversitesi,Web Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Kriptografi Veri Güvenliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Boğaziçi Üniversitesi,Nesne Tabanlı Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Boğaziçi Üniversitesi,Genel Matematik,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Hacettepe Üniversitesi,Programlama Dilleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Yıldız Teknik Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Ankara Üniversitesi,Makine Ãğrenmesi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Koç Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Koç Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Koç Üniversitesi,Web Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Hacettepe Üniversitesi,Veri Bilimi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Yıldız Teknik Üniversitesi,Programlama Dilleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Boğaziçi Üniversitesi,Programlama Dilleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Boğaziçi Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Bilgisayar Ağları,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Hacettepe Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Kriptografi Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Koç Üniversitesi,Sistem Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Ankara Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Ankara Üniversitesi,Makine Ãğrenmesi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Veri Madenciliği,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Ankara Üniversitesi,Programlama Dilleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
İstanbul Teknik Üniversitesi,Programlama Dilleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Boğaziçi Üniversitesi,Sistem Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Yıldız Teknik Üniversitesi,Yapay Zeka,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Boğaziçi Üniversitesi,Veri Madenciliği,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Dokuz Eylül Üniversitesi,Genel Matematik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Ankara Üniversitesi,İnternet Programcılığı,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,Veri Madenciliği,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Marmara Üniversitesi,Nesne Tabanlı Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Sabancı Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Dijital Oyun Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Teknik Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Marmara Üniversitesi,Web Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Boğaziçi Üniversitesi,Yapay Zeka,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Üniversitesi,Genel Matematik,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Ankara Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Marmara Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Dokuz Eylül Üniversitesi,Sistem Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
