Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Koç Üniversitesi,Makine Ãğrenmesi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",koçmak üniversite,koç üniversites,maki,mak,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",dokuz eylül üniversite,dok eylül üniversites,nesne taban programlamak,nesne tabanlı programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk teknik üniversite,i̇stanbul teknik üniversites,veri maden,ver madencilik,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Ankara Üniversitesi,Dijital Oyun Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Ankara üniversite,ankar üniversites,dijital oymak programlamak,dijital oy programla,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Hacettepe üniversite,hacettep üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Unk teknik üniversite,i̇stanbul teknik üniversites,Unk Yönet sistem,i̇çerik yönet sistem,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Boğaziçi üniversite,boğaziç üniversites,maki,mak,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",orta doğu teknik üniversite,or dok teknik üniversites,siber Güvenlik,siber güvenlik,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Marmara üniversite,marmar üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Hacettepe Üniversitesi,Programlama Dilleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Hacettepe üniversite,hacettep üniversites,programlamak dil,programla dil,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Ankara Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Ankara üniversite,ankar üniversites,veritabanı sistem,veritaba sistem,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Ankara Üniversitesi,Sistem Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Ankara üniversite,ankar üniversites,sistem programlamak,siste programla,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Boğaziçi Üniversitesi,Siber Güvenlik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Boğaziçi üniversite,boğaziç üniversites,siber Güvenlik,siber güvenlik,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Koç Üniversitesi,Makine Ãğrenmesi,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",koçmak üniversite,koç üniversites,maki,mak,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Hacettepe Üniversitesi,Sistem Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Hacettepe üniversite,hacettep üniversites,sistem programlamak,siste programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",koçmak üniversite,koç üniversites,Unk Yönet sistem,i̇çerik yönet sistem,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Ankara üniversite,ankar üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Sabancı Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",saban üniversite,sabancı üniversites,maki,mak,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Boğaziçi Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Boğaziçi üniversite,boğaziç üniversites,programlamak dil,programla dil,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Marmara Üniversitesi,Kriptografi ve Veri Güvenliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Marmara üniversite,marmar üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",dokuz eylül üniversite,dok eylül üniversites,veri taba Yönet sistem,ver taba yönet sistem,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Koç Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",koçmak üniversite,koç üniversites,dijital oymak programlamak,dijital oy programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",orta doğu teknik üniversite,or dok teknik üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Sabancı Üniversitesi,Bilgisayar Ağları,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",saban üniversite,sabancı üniversites,bilgisayar ağ,bilgisayar ak,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Yıldız Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",yıldız teknik üniversite,yıldız teknik üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",orta doğu teknik üniversite,or dok teknik üniversites,sistem programlamak,siste programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Koç Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",koçmak üniversite,koç üniversites,yapay zekâ,yapay zeka,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,dokuz eylül üniversite,dok eylül üniversites,veri taba Yönet sistem,ver taba yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",orta doğu teknik üniversite,or dok teknik üniversites,nesne taban programlamak,nesne tabanlı programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Marmara Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Marmara üniversite,marmar üniversites,veritabanı sistem,veritaba sistem,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Yıldız Teknik Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",yıldız teknik üniversite,yıldız teknik üniversites,veri bili,ver bil,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Boğaziçi Üniversitesi,Veri Madenciliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Boğaziçi üniversite,boğaziç üniversites,veri maden,ver madencilik,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Dokuz Eylül Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",dokuz eylül üniversite,dok eylül üniversites,yapay zekâ,yapay zeka,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Sabancı Üniversitesi,İnternet Programcılığı,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",saban üniversite,sabancı üniversites,Unk program,i̇nternet programcılık,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",yıldız teknik üniversite,yıldız teknik üniversites,maki,mak,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Ankara üniversite,ankar üniversites,veri taba Yönet sistem,ver taba yönet sistem,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Boğaziçi Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Boğaziçi üniversite,boğaziç üniversites,veri maden,ver madencilik,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Ankara üniversite,ankar üniversites,Unk Yönet sistem,i̇çerik yönet sistem,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Unk üniversite,i̇stanbul üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Orta Doğu Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",orta doğu teknik üniversite,or dok teknik üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Dokuz Eylül Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",dokuz eylül üniversite,dok eylül üniversites,veri bili,ver bil,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",dokuz eylül üniversite,dok eylül üniversites,siber Güvenlik,siber güvenlik,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",dokuz eylül üniversite,dok eylül üniversites,veri taba Yönet sistem,ver taba yönet sistem,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Boğaziçi üniversite,boğaziç üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",saban üniversite,sabancı üniversites,nesne taban programlamak,nesne tabanlı programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Boğaziçi üniversite,boğaziç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Marmara Üniversitesi,Programlama Dilleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Marmara üniversite,marmar üniversites,programlamak dil,programla dil,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",yıldız teknik üniversite,yıldız teknik üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Hacettepe üniversite,hacettep üniversites,veritabanı sistem,veritaba sistem,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,dokuz eylül üniversite,dok eylül üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Boğaziçi Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Boğaziçi üniversite,boğaziç üniversites,genel matematik,genel matematik,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Ankara Üniversitesi,Siber Güvenlik,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Ankara üniversite,ankar üniversites,siber Güvenlik,siber güvenlik,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Koç Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",koçmak üniversite,koç üniversites,Unk program,i̇nternet programcılık,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",dokuz eylül üniversite,dok eylül üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",koçmak üniversite,koç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Koç Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",koçmak üniversite,koç üniversites,Web programlamak,web programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk üniversite,i̇stanbul üniversites,Unk Yönet sistem,i̇çerik yönet sistem,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",yıldız teknik üniversite,yıldız teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",yıldız teknik üniversite,yıldız teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Marmara üniversite,marmar üniversites,dijital oymak programlamak,dijital oy programla,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Marmara üniversite,marmar üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Dokuz Eylül Üniversitesi,Veri Bilimi,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",dokuz eylül üniversite,dok eylül üniversites,veri bili,ver bil,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Marmara Üniversitesi,Genel Matematik,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Marmara üniversite,marmar üniversites,genel matematik,genel matematik,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",saban üniversite,sabancı üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Sabancı Üniversitesi,Siber Güvenlik,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",saban üniversite,sabancı üniversites,siber Güvenlik,siber güvenlik,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",yıldız teknik üniversite,yıldız teknik üniversites,Unk program,i̇nternet programcılık,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Marmara Üniversitesi,Nesne Tabanlı Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Marmara üniversite,marmar üniversites,nesne taban programlamak,nesne tabanlı programla,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Koç Üniversitesi,Siber Güvenlik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",koçmak üniversite,koç üniversites,siber Güvenlik,siber güvenlik,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",orta doğu teknik üniversite,or dok teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
İstanbul Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Unk üniversite,i̇stanbul üniversites,dijital oymak programlamak,dijital oy programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",orta doğu teknik üniversite,or dok teknik üniversites,maki,mak,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Ankara Üniversitesi,Bilgisayar Ağları,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Ankara üniversite,ankar üniversites,bilgisayar ağ,bilgisayar ak,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Marmara üniversite,marmar üniversites,Unk Yönet sistem,i̇çerik yönet sistem,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Hacettepe Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Hacettepe üniversite,hacettep üniversites,Web programlamak,web programla,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Koç Üniversitesi,Yapay Zeka,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",koçmak üniversite,koç üniversites,yapay zekâ,yapay zeka,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",dokuz eylül üniversite,dok eylül üniversites,bilgisayar ağ,bilgisayar ak,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Boğaziçi Üniversitesi,Siber Güvenlik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Boğaziçi üniversite,boğaziç üniversites,siber Güvenlik,siber güvenlik,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Hacettepe Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Hacettepe üniversite,hacettep üniversites,programlamak dil,programla dil,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",dokuz eylül üniversite,dok eylül üniversites,veri maden,ver madencilik,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Marmara Üniversitesi,Siber Güvenlik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Marmara üniversite,marmar üniversites,siber Güvenlik,siber güvenlik,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
