Üniversite Adı,Ders Adı,Ders Tanımı,lemmatized_text
Marmara Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Marmara Üniversitesi,Makine Ãğrenmesi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Sabancı Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Ankara Üniversitesi,Makine Ãğrenmesi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem
Orta Doğu Teknik Üniversitesi,Veritabanı Sistemleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Marmara Üniversitesi,Yapay Zeka,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Yıldız Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Dokuz Eylül Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Orta Doğu Teknik Üniversitesi,Yapay Zeka,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Ankara Üniversitesi,Kriptografi ve Veri Güvenliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Sabancı Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Marmara Üniversitesi,Yapay Zeka,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Ankara Üniversitesi,Siber Güvenlik,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Dokuz Eylül Üniversitesi,Mobil Uygulama Geliştirme,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
İstanbul Üniversitesi,Kriptografi ve Veri Güvenliği,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Üniversitesi,Programlama Dilleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Marmara Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
İstanbul Üniversitesi,Veritabanı Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
İstanbul Üniversitesi,Veritabanı Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Ankara Üniversitesi,Dijital Oyun Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Yıldız Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Sabancı Üniversitesi,Yapay Zeka,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Dokuz Eylül Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Marmara Üniversitesi,İnternet Programcılığı,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Dokuz Eylül Üniversitesi,Yapay Zeka,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Dokuz Eylül Üniversitesi,Sistem Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
İstanbul Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Marmara Üniversitesi,Yapay Zeka,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Ankara Üniversitesi,Kriptografi ve Veri Güvenliği,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Boğaziçi Üniversitesi,Siber Güvenlik,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Ankara Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Dokuz Eylül Üniversitesi,Mobil Uygulama Geliştirme,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Sabancı Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Ankara Üniversitesi,Yapay Zeka,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
İstanbul Üniversitesi,Dijital Oyun Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
Ankara Üniversitesi,Veri Bilimi,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Marmara Üniversitesi,Siber Güvenlik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Dokuz Eylül Üniversitesi,Veri Bilimi,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Koç Üniversitesi,İnternet Programcılığı,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu
Sabancı Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Boğaziçi Üniversitesi,Yapay Zeka,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Ankara Üniversitesi,Genel Matematik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Ankara Üniversitesi,Programlama Dilleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Sabancı Üniversitesi,Veritabanı Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
İstanbul Üniversitesi,Genel Matematik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Ankara Üniversitesi,Dijital Oyun Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Marmara Üniversitesi,Yapay Zeka,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Sabancı Üniversitesi,Web Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
İstanbul Teknik Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Boğaziçi Üniversitesi,İnternet Programcılığı,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
İstanbul Üniversitesi,Veri Madenciliği,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Orta Doğu Teknik Üniversitesi,Bilgisayar Ağları,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Sabancı Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Marmara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek
Boğaziçi Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Yıldız Teknik Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Yıldız Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Hacettepe Üniversitesi,Siber Güvenlik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
İstanbul Üniversitesi,Programlama Dilleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Hacettepe Üniversitesi,Genel Matematik,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
Sabancı Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Sabancı Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Ankara Üniversitesi,Programlama Dilleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
İstanbul Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Marmara Üniversitesi,Bilgisayar Ağları,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Ankara Üniversitesi,Programlama Dilleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Koç Üniversitesi,Makine Ãğrenmesi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
İstanbul Üniversitesi,Veri Bilimi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Hacettepe Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri taba mimarî Unk veritabanı güvenlik performans Yönet
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağmak katman protokol mimarî güvenlik önlem
Hacettepe Üniversitesi,Genel Matematik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
İstanbul Üniversitesi,Siber Güvenlik,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Marmara Üniversitesi,Veri Madenciliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Marmara Üniversitesi,Bilgisayar Ağları,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
İstanbul Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oymak geliştirmek süreç oymak motor grafik fizik motor kullanım
İstanbul Üniversitesi,Dijital Oyun Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem
Sabancı Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Java C dil nesne taban yazılı geliştirmek prensip
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk platform içerik üretim Yönet özel Yöntem
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Ankara Üniversitesi,Sistem Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Web programlamak yapı Html Unk Javascript sunmak taraf programlamak
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analiz istatistik modellemek Python veri işlemek görsel
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelemek Teknik dijital imza güven iletişim Yöntem ağmak güvenlik
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Yıldız Teknik Üniversitesi,Genel Matematik,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Sabancı Üniversitesi,Veri Madenciliği,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem
Koç Üniversitesi,Veri Bilimi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
İstanbul Teknik Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Web teknoloji uygulamak programlamak
Boğaziçi Üniversitesi,Nesne Tabanlı Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
Ankara Üniversitesi,Web Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyon limit türev integral lineer cebir diferansiyel denklem
Dokuz Eylül Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet
